clé	entrée	occurrence	fichier
versailles	Versailles	Versailles	merveilles17_ms_piephilidor_001
versailles_chateau	Château de Versailles	Maison de Versailles	merveilles17_ms_piephilidor_001
paris	Paris	Paris	merveilles17_ms_piephilidor_001
versailles_jardins_menagerie	Ménagerie	sa Menagerie	merveilles17_ms_piephilidor_001
versailles_chateau	Château de Versailles	son Sallon	merveilles17_ms_piephilidor_001
fontainebleau	Fontainebleau	Fontainebleau	merveilles17_ms_piephilidor_001
italie	Italie	Italie	merveilles17_p_gazette16640216
paris_palais_royal	Palais Royal	Palais Royal	merveilles17_p_gazette16640216
paris_arsenal	Arsenal	Arsenal	merveilles17_p_gazette16640216
paris_saint_paul	Eglise Saint Paul des Champs	S. Paul	merveilles17_p_gazette16640216
paris_saint_louis_des_jesuites	Eglise Saint Louis des Jésuites	l’Eglise des Jésüites de la rüe S. Antoine	merveilles17_p_gazette16640216
saint_cloud_chateau	Château de Saint-Cloud	S. Cloud	merveilles17_p_gazette16640510
paris_chaillot_couvent	Couvent des Visitandines de Chaillot	Couvent des Religieuses de Challiot	merveilles17_p_gazette16640510
saint_cloud_jardins	Jardins du château de Saint-Cloud	Iardin de cette belle Maison	merveilles17_p_gazette16640510
suresne_mont_valerien	Mont Valérien	Mont Valérien	merveilles17_p_gazette16640510
saint_cloud_ursulines	Monastère des Ursulines de Saint-Cloud	Monastére des Vrsulines de S. Cloud	merveilles17_p_gazette16640510
versailles	Versailles	Versailles	merveilles17_p_gazette16640510
france	France	France	merveilles17_p_gazette16640528
versailles_jardins_petit_parc	Petit Parc de Versailles	Petit Parc	merveilles17_p_gazette16640528
versailles_jardins_grande_allee	Grande Allée de Versailles	au milieu de la grande Allée qui regarde le Chasteau de Versailles	merveilles17_p_gazette16640528
versailles_jardins_avenues	Avenues du Parc de Versailles	trois Avenües	merveilles17_p_gazette16640528
versailles_jardins	Jardins de Versailles	milieu de la Place	merveilles17_p_gazette16640528
versailles_jardins_petit_parc	Petit Parc de Versailles	petit Parc de Versailles	merveilles17_p_gazette16640528
versailles_jardins	Jardins de Versailles	vne tres grande Sale	merveilles17_p_gazette16640528
versailles_jardins	Jardins de Versailles	Théâtre	merveilles17_p_gazette16640528
versailles_jardins	Jardins de Versailles	au bout de la mesme Allée en Ovale	merveilles17_p_gazette16640528
versailles_jardins	Jardins de Versailles	au milieu d’vne Plaine	merveilles17_p_gazette16640528
versailles_chateau	Château de Versailles	Oratoire	merveilles17_p_loret16640202
versailles_chateau	Château de Versailles	Salon	merveilles17_p_loret16640202
versailles_chateau	Château de Versailles	grande Sale	merveilles17_p_loret16640202
versailles	Versailles	Versaille	merveilles17_p_loret16640202
versailles_chateau	Château de Versailles	Oratoire	merveilles17_p_loret16640202
savoie	Savoie	Cour de Savoye	merveilles17_p_loret16640202
paris_palais_royal	Palais Royal	Palais Royal	merveilles17_p_loret16640216
paris_palais_royal_theatre	Théâtre du Palais-Royal	Téatre	merveilles17_p_loret16640216
versailles_chateau	Château de Versailles	Versaille	merveilles17_p_loret16640510
versailles	Versailles	Versaille	merveilles17_p_loret16640510
versailles_chateau	Château de Versailles	Château	merveilles17_p_loret16640510
versailles_chateau	Château de Versailles	l’entrée	merveilles17_p_loret16640510
versailles_cour	Cour de Versailles	basse Court	merveilles17_p_loret16640510
versailles	Versailles	Versaille	merveilles17_p_loret16640510
versailles	Versailles	Versaille	merveilles17_p_loret16640517
fontainebleau	Fontainebleau	Fontainebleau	merveilles17_p_loret16640802
fontainebleau_chateau	Château de Fontainebleau	Palais de Fontainebleau	merveilles17_p_loret16640802
fontainebleau	Fontainebleau	Fontainebleau	merveilles17_p_loret16640802
paris	Paris	Paris	merveilles17_p_loret16640802
paris	Paris	Paris	merveilles17_p_loret16640809
paris	Paris	Paris	merveilles17_p_loret16640809
